neighbourhood,room_type,price
Near South Side,Entire home/apt,100
Near North Side,Entire home/apt,120
Near West Side,Private room,52
Loop,Entire home/apt,150
Near North Side,Entire home/apt,75
Irving Park,Entire home/apt,86
Near West Side,Private room,51
Near North Side,Private room,102
Woodlawn,Private room,46
Woodlawn,Private room,32
Woodlawn,Private room,33
Logan Square,Entire home/apt,90
Edgewater,Entire home/apt,898
East Garfield Park,Private room,42
Woodlawn,Private room,32
Woodlawn,Private room,39
Irving Park,Entire home/apt,42
Logan Square,Entire home/apt,239
Woodlawn,Entire home/apt,115
Lincoln Park,Entire home/apt,129
Edgewater,Entire home/apt,88
Avondale,Shared room,30
Lake View,Entire home/apt,125
West Town,Entire home/apt,102
Edgewater,Entire home/apt,85
East Garfield Park,Private room,39
Near West Side,Private room,59
Kenwood,Entire home/apt,225
Near North Side,Entire home/apt,310
Logan Square,Private room,46
Lake View,Entire home/apt,170
West Ridge,Private room,49
West Town,Entire home/apt,92
West Town,Entire home/apt,109
Near North Side,Entire home/apt,145
Lincoln Park,Entire home/apt,200
Near North Side,Entire home/apt,85
Near North Side,Entire home/apt,250
Near North Side,Entire home/apt,220
Lincoln Park,Entire home/apt,80
Near North Side,Entire home/apt,199
Avondale,Entire home/apt,107
Hyde Park,Private room,46
Edgewater,Private room,110
West Town,Private room,56
Lower West Side,Private room,56
Near West Side,Private room,73
Lake View,Entire home/apt,200
Lincoln Square,Entire home/apt,64
Near West Side,Entire home/apt,182
Lincoln Park,Entire home/apt,200
Lower West Side,Entire home/apt,125
Lake View,Hotel room,30
East Garfield Park,Entire home/apt,109
Lincoln Park,Private room,101
Logan Square,Entire home/apt,165
Near North Side,Private room,455
West Town,Private room,69
Woodlawn,Entire home/apt,139
Woodlawn,Entire home/apt,82
Woodlawn,Entire home/apt,95
Lower West Side,Private room,24
Lower West Side,Entire home/apt,107
Lake View,Entire home/apt,1999
Grand Boulevard,Entire home/apt,81
West Town,Entire home/apt,249
Logan Square,Private room,47
Edgewater,Entire home/apt,75
East Garfield Park,Entire home/apt,79
Near North Side,Entire home/apt,218
Lake View,Entire home/apt,143
East Garfield Park,Private room,42
Loop,Entire home/apt,155
Near North Side,Entire home/apt,120
Lincoln Square,Entire home/apt,285
Lincoln Square,Private room,59
Logan Square,Entire home/apt,100
Uptown,Entire home/apt,200
Rogers Park,Entire home/apt,155
Rogers Park,Entire home/apt,155
Rogers Park,Private room,175
Rogers Park,Entire home/apt,175
Rogers Park,Entire home/apt,180
Douglas,Entire home/apt,72
Near North Side,Entire home/apt,215
Douglas,Entire home/apt,850
Lake View,Entire home/apt,321
Near North Side,Entire home/apt,307
Irving Park,Entire home/apt,76
Near North Side,Entire home/apt,304
Kenwood,Entire home/apt,1000
Logan Square,Entire home/apt,156
Lake View,Private room,125
Loop,Entire home/apt,125
Loop,Entire home/apt,200
Near West Side,Private room,55
Lower West Side,Entire home/apt,83
