neighbourhood,room_type,price
Lower East Side,Entire home/apt,150
Clinton Hill,Entire home/apt,650
Bedford-Stuyvesant,Entire home/apt,90
Bedford-Stuyvesant,Entire home/apt,120
Astoria,Private room,80
Crown Heights,Entire home/apt,100
Bedford-Stuyvesant,Entire home/apt,175
Crown Heights,Entire home/apt,120
Williamsburg,Entire home/apt,140
Bedford-Stuyvesant,Entire home/apt,200
Clinton Hill,Private room,165
Kips Bay,Entire home/apt,125
Chelsea,Entire home/apt,130
East Harlem,Shared room,65
Fort Greene,Entire home/apt,123
Washington Heights,Private room,67
Queens Village,Private room,50
Gowanus,Entire home/apt,130
Williamsburg,Private room,100
Upper West Side,Entire home/apt,212
Williamsburg,Entire home/apt,190
Greenpoint,Private room,599
East Village,Entire home/apt,249
Rockaway Beach,Private room,70
Crown Heights,Entire home/apt,100
Harlem,Private room,60
Bedford-Stuyvesant,Entire home/apt,135
Greenpoint,Entire home/apt,175
Upper West Side,Entire home/apt,120
Midtown,Entire home/apt,169
Crown Heights,Entire home/apt,165
Harlem,Private room,90
Upper East Side,Entire home/apt,225
Fort Greene,Private room,95
Crown Heights,Private room,55
Hell's Kitchen,Private room,85
South Slope,Entire home/apt,199
Lower East Side,Entire home/apt,211
Midtown,Entire home/apt,145
Harlem,Private room,65
Harlem,Entire home/apt,99
Astoria,Entire home/apt,110
Crown Heights,Entire home/apt,80
Brooklyn Heights,Entire home/apt,150
Bedford-Stuyvesant,Entire home/apt,110
Chelsea,Private room,290
East Village,Private room,87
Williamsburg,Entire home/apt,190
Williamsburg,Entire home/apt,200
Park Slope,Entire home/apt,165
Harlem,Entire home/apt,110
East Village,Entire home/apt,395
Bedford-Stuyvesant,Private room,99
Kensington,Private room,39
East Village,Entire home/apt,189
Upper West Side,Private room,85
Gowanus,Entire home/apt,260
Harlem,Entire home/apt,122
Greenpoint,Entire home/apt,165
Forest Hills,Entire home/apt,97
West Village,Entire home/apt,170
Williamsburg,Entire home/apt,125
Murray Hill,Private room,130
Williamsburg,Entire home/apt,225
East Flatbush,Private room,50
Fort Greene,Entire home/apt,170
Chelsea,Entire home/apt,132
Park Slope,Entire home/apt,250
Greenpoint,Entire home/apt,141
Crown Heights,Entire home/apt,64
Williamsburg,Entire home/apt,249
Crown Heights,Private room,79
East Village,Entire home/apt,185
Boerum Hill,Entire home/apt,120
Park Slope,Entire home/apt,495
Nolita,Entire home/apt,375
Nolita,Entire home/apt,175
East Village,Entire home/apt,150
Harlem,Entire home/apt,259
East Village,Private room,96
Williamsburg,Entire home/apt,145
Chelsea,Entire home/apt,200
Upper West Side,Entire home/apt,95
Windsor Terrace,Entire home/apt,250
Harlem,Entire home/apt,295
Greenwich Village,Entire home/apt,175
Williamsburg,Entire home/apt,451
Upper West Side,Entire home/apt,165
Upper East Side,Entire home/apt,250
Woodlawn,Entire home/apt,77
Lower East Side,Entire home/apt,250
Astoria,Entire home/apt,129
Williamsburg,Private room,98
Park Slope,Entire home/apt,150
East Village,Private room,95
Harlem,Private room,55
Harlem,Entire home/apt,300
Sunnyside,Private room,42
Greenpoint,Entire home/apt,125
East Village,Private room,175
Harlem,Private room,75
Williamsburg,Entire home/apt,255
Bedford-Stuyvesant,Entire home/apt,72
Bedford-Stuyvesant,Private room,165
Williamsburg,Entire home/apt,165
Clinton Hill,Private room,75
Greenpoint,Entire home/apt,130
Williamsburg,Entire home/apt,139
Bedford-Stuyvesant,Private room,88
Bedford-Stuyvesant,Private room,80
Chelsea,Private room,150
Upper West Side,Entire home/apt,200
East Village,Entire home/apt,200
Sunnyside,Private room,42
Williamsburg,Private room,90
Harlem,Entire home/apt,295
Williamsburg,Entire home/apt,450
Crown Heights,Entire home/apt,130
Williamsburg,Private room,89
Harlem,Entire home/apt,198
East Village,Entire home/apt,99
Greenpoint,Private room,46
SoHo,Private room,140
Carroll Gardens,Entire home/apt,500
Morningside Heights,Private room,75
Sunnyside,Private room,33
Upper West Side,Entire home/apt,250
Bushwick,Private room,60
Washington Heights,Private room,75
Carroll Gardens,Entire home/apt,350
Chelsea,Entire home/apt,205
Park Slope,Entire home/apt,219
Park Slope,Private room,60
Upper West Side,Entire home/apt,185
East Village,Entire home/apt,190
South Slope,Entire home/apt,105
East Harlem,Entire home/apt,250
Upper West Side,Entire home/apt,175
Harlem,Private room,65
Bedford-Stuyvesant,Entire home/apt,75
University Heights,Private room,37
