,name,latitude,longitude,price,minimum_nights
4173,CHECK IN 8AM. CHECK OUT 7PM- QUEEN BED,41.89416,-87.63121,400,30
4181,ONE EXTRA CLEANING SERVICE- LUX HIGH RISE,41.89456,-87.63202,400,30
4185,Splendid Skyscraper in the Heart of Chicago,41.8834,-87.64307,400,2
4186,♥ Couples Hideout w/ Pool & Fitness Center,41.89382,-87.61829,400,2
4188,"Stunning Designer Loft in Fulton Market, Sleeps 24",41.88749,-87.65276999999998,582,2
4196,Zen Loft Downtown Chicago,41.910759999999996,-87.63818,571,1
4208,Beautiful Chicago Mansion/20 min. O'hare/ Downtown,41.953559999999996,-87.7202,583,2
4224,Luxury 7 Bedroom Oasis in the city,41.934059999999995,-87.66348,650,3
4225,Sonder for Lollapalooza weekend,41.87524000000001,-87.62925,525,4
4230,Skyrise in the Heart of Downtown Chicago,41.88463,-87.63575,425,2
4241,Whole house in Lakeview,41.937329999999996,-87.655,1200,2
4265,✈ Skyscraper Studio near Skydeck + KING BED ♕,41.88354,-87.64298000000002,400,2
4267,3BDR/2BATH Modern Apt in South Loop,41.87182,-87.63029,400,2
4272,5 BD Bronzeville Gem Near Loop/McCormick/Museums,41.83245,-87.62147,368,3
4274,Beautiful view & Great Location in River North,41.891729999999995,-87.61707,400,30
4275,Pool & Gym & Nightlife in River North,41.89176,-87.63709,400,2
4276,CLEANEST Airbnb in Chicago in Highrise,41.89438,-87.61734,400,2
4277,Business Travelers Studio in Loop Area + King Bed,41.886959999999995,-87.63478,400,2
4278,Loop Studio near The Bean & Subway Stations,41.886540000000004,-87.63659,400,2
4328,♕ King Bed Royal Apartment in West Loop,41.88125,-87.64431,400,2
4330,SUPER EARLY CHECK IN AND SUPER LATE CHECK OUT,41.88163,-87.64419000000002,400,2
4331,Splendid Skyscraper in the Heart of Chicago,41.88302,-87.64447,400,2
4340,Luxury studio in River North Area,41.89462,-87.63231,400,30
4345,ONE EXTRA CLEANING SERVICE- LUX HIGH RISE,41.89451,-87.63237,400,30
4346,Quick Walk to Water Tower & 360 Chicago,41.89546,-87.63123,400,30
4358,DAILY ROOM SERVICE- MAGNIFICENT MILE- HIGH RISE,41.88027,-87.62279000000002,400,2
4360,Fully Equipped Studio Close to Chicago Riverwalk,41.88406,-87.63279,400,2
4365,Downtown Chicago two blocks from United Center,41.881,-87.67952,400,2
4466,Business Travelers Apt w/ Queen Bed in River North,41.89504,-87.63135,400,2
4468,"Pool, Gym & Netflix, the Best of River North",41.89496,-87.63141999999998,400,2
4504,Stylish & Ample 3BR STAYCATION SPACE For You,41.89889,-87.6685,450,1
4515,"Old Town Cosmopolitan Four Bedroom, Four Bath",41.91404,-87.63829,365,5
4559,Luxurious home close to downtown Chicago.,41.820570000000004,-87.61224,429,3
4582,Wicker Park Nook G,41.9053,-87.67543,600,3
4618,Large Loft Space For Large Groups & Families!,41.9383,-87.69649,1000,1
4626,Cozy Greystone for Private Events,41.79285,-87.64786,386,1
4639,Unbeatable Stay at Fulton Market Stunning Condo,41.88705,-87.64729,420,3
4694,Wyndham Studio/ 2020 All-Star Basketball Weekend,41.88837,-87.62563,400,3
4699,A4. Next to Downtown,41.847590000000004,-87.64509,399,1
4703,Sofa Bed in the Playroom!,41.79612,-87.58416,897,32
4704,♔ Royal Stay in a Full Studio Close to the Loop ♔,41.8865,-87.62445,400,2
4706,4B|2.5B Chicago Townhome,41.94042,-87.67296999999998,484,2
4713,The Epic🗻Sleep30 - 4 Downtown Penthouses Combined,41.87209,-87.62719,693,2
4719,Gargantuan Brownstone near Landmarks and Wrigley!,41.96824,-87.66001999999996,439,3
4758,PRISTINE PREMIER LUXURY 3-STORY GREYSTONE HOME!!!,41.94579,-87.66094,864,2
4786,Luxurious Private Suite with Lake View,41.90148,-87.62849,595,1
4787,Luxurious Penthouse in Boutique Hotel Near North,41.90175,-87.62961,1015,1
4796,PRIVATE BEDROOM in a modern apt near HYDE PARK,41.81574000000001,-87.60757,995,1
4803,Bronzeville high end duplex,41.81966,-87.60240999999998,800,3
4817,Private 4B/2BA Wrigley Field Home With Parking,41.94619,-87.66167,450,2
4840,2 Separate Suites across the hall from each other!,41.89958,-87.65674,785,2
4841,House 5863- 1st Floor 2 Bedroom Suite,41.98818,-87.66407,524,1
4955,2 East Oak St. Gold Coast,41.90161,-87.62749000000002,1000,1
4975,Colorful & Bright Lakeview Home for 13 w/ Parking!,41.93588,-87.66042,547,3
5036,In the Heart of the City!,41.8931,-87.61886,375,2
5045,Sleep15 - Spacious Downtown Penthouse 5bd with❤️,41.87363,-87.62871,408,2
5053,Kayla’s Place,41.789120000000004,-87.62308,434,1
5078,Walk to Everything in the Heart of Downtown,41.892340000000004,-87.62045,375,2
5079,"In the Heart of Everything Downtown, Stunning!",41.89373,-87.6187,425,2
5088,Location Location! Walk to Mag Mile and Navy Pier,41.89353,-87.61983000000002,365,2
5095,"Enjoy a higher standard of living in this chic 3BD, fast wifi",41.88824,-87.63416,734,2
5098,The Monticello In Avondale/Logan Sq.  4BR/2BA/PK!,41.93779,-87.71905,528,3
