,name,latitude,longitude,price,minimum_nights
567,"Luxury Yacht Downtown Seattle, 2 bd",47.62937474,-122.33974640000001,249,1
576,Modern Home & Furnishings,47.61303672,-122.29945320000002,275,3
580,"TL ""Boston"": renovated 2 bed/2 bath",47.62091627,-122.2979149,250,2
581,"Central District ""Green"" House",47.61219763,-122.29777150000001,225,3
587,Fields of Dreams: Modern 4bed/3.5ba,47.62039309,-122.29957549999999,400,2
601,House of Suffrage: 5 bed sleeps 15!,47.61215749,-122.3011966,400,2
606,"Cozy, Dog Friendly Home",47.61871017,-122.29642379999999,250,2
609,Beautiful Craftsman House,47.61323754,-122.2976686,250,1
611,Wall Street: Luxury 3 bed/2.5 bath,47.61893324,-122.2998512,250,1
617,Modern townhome  in great location,47.61942863,-122.29827649999999,300,3
