,name,latitude,longitude,price,minimum_nights
3450,View Home 3.7 mi from Pike Pl. Mkt.,47.63791251,-122.3912642,330,3
3452,MODERN 2 BD/2.25 BTH TOWN HOME,47.64325318,-122.38476509999998,350,2
3459,RENT ENTIRE UPPER LEVEL OR  A ROOM!,47.54294922,-122.3754064,300,1
3460,GardenLife Sanctuary ,47.55325067,-122.362994,250,2
3508,Perfect Madison Park Urban Oasis,47.62931559,-122.29364879999999,285,2
3510,Madison Park House - 2+ Bedrooms,47.63471337,-122.27936709999999,275,1
3518,"Bright, Sunny Madison Park Condo",47.63664678,-122.27685770000001,215,3
3520,Capitol Hill Apt. in Craftsman Home,47.62360911,-122.31088059999999,250,4
3554,Lofted urban retreat with roof deck,47.62215175,-122.3079759,300,1
3561,Capitol Hill Victorian Home,47.62988732,-122.30859170000001,399,4
3562,Charming 1906 Craftsman,47.62906699,-122.3079134,300,3
3575,Perfectly Located Capitol Hill Home,47.63793402,-122.31350549999999,400,1
3577,Classic Beautiful Seattle Home,47.6288314,-122.30540959999999,545,5
3578,"Classic home, heart of Capitol Hill",47.62304614,-122.304907,250,2
3588,"TL ""New York"": renovated 2bed/2bath",47.62206057,-122.29868379999999,250,2
3589,Garden Suite in North Capitol Hill,47.62995686,-122.30861000000002,220,5
3595,Large Capitol Hill Single Family,47.62636343,-122.3099271,450,4
3598,House in the trees w/amazing views,47.63878685,-122.31334299999999,295,6
3618,Capital Hill Home in Seattle,47.63389203,-122.30428789999999,449,4
3619,A Garden Sanctuary in the City,47.62124542,-122.302201,300,3
3636,The Aerodrome: Luxury 3bed/2.5bath,47.62111909,-122.2997382,450,2
3637,"Classic Home, Mid-City Neighborhood",47.62817272,-122.3078632,350,3
3667,Amazing 3BR Fremont Townhome!,47.66032785,-122.35222649999999,250,7
3674,"3br,modern,fire place, chef kitchen",47.65302813,-122.34268279999999,275,1
3678,New LUXURY house - heart of Fremont,47.65256834,-122.35136100000001,500,1
3701,Big Red House in Heart of Fremont,47.65747136,-122.3564883,450,1
3708,Fremont Single Family Home,47.66085311,-122.34993770000001,300,1
3723,"Fun home in Funky Fremont, Seattle ",47.65692477,-122.36093490000002,275,2
3724,Artsy Fremont High Lakeside Loft,47.65027747,-122.34538020000001,232,1
3738,Fremont Walkable 3 Bdrm Townhome,47.65027292,-122.34406829999999,210,3
3744,Fremont Jet City 3 Bdrm Townhome,47.65686197,-122.3479013,235,3
3747,3 bedroom house in Fremont/Ballard,47.65767456,-122.35868500000001,400,3
3753,"corp relo. 2 car, 94 walkscore, 3br",47.65265241,-122.34738290000001,400,29
3754,Charming 2 Bedroom Home in Fremont,47.65630303,-122.35636799999999,225,5
3755,Roots @ the Center of the Universe,47.65160862,-122.3560665,240,3
3758,Beautiful City Home with Views,47.66462601,-122.3597716,350,2
3771,Fresh & hip. 3br/2.5ba. deck. new.,47.65883131,-122.3479665,325,1
3787,Fremont Jet City Townhome,47.65855205,-122.3482655,260,3
3803,"Clean City House, Lots of Beds",47.66113085,-122.3492376,250,1
3813,3BR Mountain View House in Seattle,47.66429464,-122.35917009999999,359,3
