,name,latitude,longitude,price,minimum_nights
7846,Magnificent Townhouse - Upper East Side - NYC,40.78155,-73.95175,1200,5
7982,Manhattan Multi-Million $ Luxury Central Park View,40.79233,-73.9643,950,4
8006,Large room in newly renovated apt,40.6874,-73.94339000000001,750,1
8055,4500 SQ FT Quiet Brooklyn Loft for Shoots & Events,40.685559999999995,-73.96238000000001,750,1
8522,Amazing apartment with great views,40.745740000000005,-73.99226,900,3
8530,Luxury 1-Bedroom King Suite with Central Park View,40.79222,-73.96445,1000,30
8727,"Designer Fifth Ave 4BR 5Ba 6,000sf Modern Loft",40.73692,-73.99219000000001,1495,1
8805,UPPER EAST SIDE 5BR/4BA GARDEN APT,40.77635,-73.94813,888,2
8915,Amazing panoramic view loft,40.71321,-73.99099,2000,1
9035,Modern 3 Beds in Gorgeous Building,40.76348,-73.95884000000001,900,7
9039,Tasteful Duplex in Gramercy Park,40.73873,-73.98153,800,30
9056,5th ave Flatiron Loft,40.73857,-73.99256,800,15
9092,SOHO GEM 2750 SQ FT,40.72039,-73.99683,999,7
9151,Furnished room in Astoria apartment,40.7681,-73.91651,10000,100
9211,"Loft Space for Events, Meetings & Shoots",40.74068,-73.98999,850,1
9603,Private Room in New Bed-Stuy Lofts,40.6898,-73.95205,1600,1
9883,Brand new in the heart of Tribeca,40.71978,-74.00968,1500,1
10212,Elegant Oasis - Private Roof Terrace,40.7414,-73.99815,800,30
10333,"New Yorker-Featured, Light-Filled 3 Bedroom Loft",40.7336,-73.99006,1200,3
10341,"Lovely, Room/with Private bathroom",40.63982,-73.96634,1100,1
10431,Floor 35th in the heart of New York,40.7566,-73.98329,1195,3
10520,Clinton Hill Flat,40.69242,-73.96828000000001,999,2
11021,Studio 250 New York City,40.756009999999996,-73.98909,2000,1
11070,The Epic: Right by MSG,40.747890000000005,-73.98953,800,1
11089,Large Victorian home in Brooklyn,40.64697,-73.96465,800,3
11239,Brooklyn Apt w/ Recording Studio,40.67475,-73.99707,1000,2
11264,Rain or Shine Studios:  Dedicated to Production,40.58599,-73.92761999999999,2000,1
11289,Large 3 bdrm apt in Manhattan (downtown) village,40.73138,-73.99002,745,1
11339,NYC  Upscale Midtown East 3BR Apt,40.748670000000004,-73.96734000000001,1170,80
11369,Sunny 1 bedroom long or short term,40.71097,-73.95886,1150,7
11394,Beautiful Brooklyn Brownstone,40.68561,-73.99571999999999,1000,5
11560,CENTRAL PARK TOWNHOUSE Near Columbia Univ,40.80049,-73.95533,899,6
11743,"2800 SQ FT Loft for Off-Sites, Events, & Shoots",40.68567,-73.96271999999999,750,1
11900,1 bed/bath w/ Cali King bed- duplex,40.79355,-73.96641,800,5
12329,NYC Town House,40.73837,-74.00586,1200,6
12342,"Quiet, Clean, Lit @ LES & Chinatown",40.71355,-73.98507,9999,99
12740,Sun-drenched SoHo Duplex Loft,40.725429999999996,-74.00242,1000,4
12788,WOW! Luxury East Village 3 Bed | 1 Bath Apt,40.730270000000004,-73.98759,750,3
12800,Apartment at the St.Regis Hotel,40.76103,-73.97511999999999,1200,1
12801,Christmas and New Years in NYC,40.68581,-73.94689,800,3
12844,Stunning SoHo 1400sqft LOFT/DUPLEX on Best Street,40.7209,-74.00229,799,3
12846,3 Bed Apt - 63rd St and Madison,40.76875,-73.96763,1100,1
12878,Lux Interior Designer Brookyln Flat,40.67815,-73.96823,995,5
12983,SWING FROM THE CHANDELIER,40.71454,-74.00816,850,4
13467,West Village Duplex with Backyard!,40.73191,-74.00493,800,3
13724,Ultra-Modern 6-bedroom House (Great for Groups),40.742340000000006,-74.00032,1731,10
13788,Private Room in Williamsburg!,40.71141,-73.95155,1002,365
13930,Prime Location Luxury Tribeca Loft,40.71991,-74.00641,1250,30
14166,"6 BEDROOM W VILLAGE TOWNHOUSE, NYC",40.73303,-74.005,1100,6
14243,West Village 2 Bed & Private Roof,40.7341,-74.00434,814,3
14380,Mins away to Manhattan Suite Residence,40.766259999999996,-73.93054000000001,1800,3
14385,Beautiful upper west side townhouse,40.79101,-73.97961,2000,4
14459,Gramercy Townhouse,40.735459999999996,-73.98057,1200,2
14573,Huge 1 bdrm apt; sublet March-Aug,40.663909999999994,-73.95179,2100,120
14574,1br Suite - St Regis Residence Club,40.7604,-73.9741,1100,2
14629,King 7,40.69413,-73.9723,999,2
14747,3 bedroom near Park,40.72191,-73.78206999999999,750,1
15015,Artistic NEW LOFT 4 br/2 bath in Times Sq,40.762679999999996,-73.99235,800,3
15091,Lrg 2 BR Duplex Top 2 Flrs Terrace West Village,40.73426,-73.99476,999,3
15107,Luxury Penthouse w/ Roofdecks,40.72399,-73.99109,1000,4
15154,Amazing Views 3BR 2BA Bright and Spacious,40.7442,-73.98748,999,2
15262,Ziggy Stardust Surf House - A Beautiful Houseboat,40.59491,-73.78851,750,1
15390,Loft,40.721379999999996,-74.00766999999999,2500,4
15470,Perfect Neighborhood sublet,40.67086,-73.97847,935,1
15560,Luxury townhouse Greenwich Village,40.73046,-73.99562,6000,1
15576,Sunny Williamsburg Sublet,40.71183,-73.94918,1300,1
15617,2 Bedroom next to Prospect Park!,40.65785,-73.96068000000001,800,1
15677,"convenient, furnished APT",40.801829999999995,-73.96373,980,20
15833,Superhost-Designer Legal 4 Bed Townhouse Midtown 2,40.76303,-73.98767,1000,2
15837,Superhost-Pristine 4 Bed Legal Townhouse Midtown 1,40.763000000000005,-73.98642,1000,2
15890,Private Room in Williamsburg Duplex,40.71267,-73.95366999999999,1000,35
15913,1 bed room Presidential Suite,40.753370000000004,-73.97289,900,3
16040,Bright studio on great location,40.78528,-73.97111,2000,20
16122,Bright & Cozy Furnitured 4 Sublet,40.689170000000004,-73.95528,1000,1
16140,"3,500 sqf Spectacular Luxury Downtown Loft",40.745740000000005,-73.99633,850,2
16545,Beautiful 2000 sq. ft. loft in Hells Kitchen NYC,40.75647,-73.99848,2000,1
16875,Deluxe 3-BR + 3.5Bath with sweeping city views!!,40.75143,-73.96973,1100,120
17170,Planta Baja Studio,40.68786,-73.95688,1000,1
17623,Large Bedroom for $750 Monthly,40.68057,-73.94508,750,1
17652,Tribeca Light filled/ Views Apt,40.71928,-74.00799,1000,2
17665,VIP Duplex Townhouse with Private Garden!!!,40.73305,-73.99373,3800,30
17692,Luxury 1 bedroom apt. -stunning Manhattan views,40.7326,-73.95739,10000,5
17811,Gorgeous 2 Bedroom apartment,40.72064,-73.83746,2350,365
17887,Modern 4 Bedroom Lower Manhattan Apt in Soho,40.72607,-74.00916,822,30
17977,Elegant apt in the heart of the Flatiron District,40.739020000000004,-73.99143000000001,1100,3
18356,Unparalleled Luxury in Midtown Manhattan,40.76455,-73.97959,2500,30
